datetime,month,hour,total_energy_kwh,source,power_outage,temperature_celsius,foot_traffic,hvac_kwh,lighting_kwh,escalators_kwh,refrigeration_kwh,security_it_kwh,other_kwh
2026-01-02 09:00:00,1,9,4086.69,Grid,0,21.6,3085,1716.41,1144.27,367.8,367.8,245.2,245.2
2026-01-02 10:00:00,1,10,4116.83,Grid,0,23.4,3108,1729.07,1152.71,370.51,370.51,247.01,247.01
2026-01-02 11:00:00,1,11,3922.03,Grid,0,23.7,2961,1647.25,1098.17,352.98,352.98,235.32,235.32
2026-01-02 12:00:00,1,12,6439.09,Grid,0,26.3,4113,2704.42,1802.94,579.52,579.52,386.35,386.35
2026-01-02 13:00:00,1,13,6177.03,Grid,0,26.0,4034,2594.35,1729.57,555.93,555.93,370.62,370.62
2026-01-02 14:00:00,1,14,6778.82,Grid,0,26.8,4181,2847.11,1898.07,610.09,610.09,406.73,406.73
2026-01-02 15:00:00,1,15,5293.51,Grid,0,27.5,3121,2223.27,1482.18,476.42,476.42,317.61,317.61
2026-01-02 16:00:00,1,16,4965.91,Grid,0,27.1,3012,2085.68,1390.45,446.93,446.93,297.95,297.95
2026-01-02 17:00:00,1,17,8794.23,Grid,0,29.2,4689,3693.57,2462.38,791.48,791.48,527.65,527.65
2026-01-02 18:00:00,1,18,6290.24,Generator,1,26.1,4510,2641.9,1761.27,566.12,566.12,377.41,377.41
2026-01-02 19:00:00,1,19,6634.48,Grid,0,25.3,4554,2786.48,1857.65,597.1,597.1,398.07,398.07
2026-01-02 20:00:00,1,20,4284.65,Grid,0,25.5,2893,1799.55,1199.7,385.62,385.62,257.08,257.08
2026-01-02 21:00:00,1,21,3863.34,Grid,0,23.3,2917,1622.6,1081.73,347.7,347.7,231.8,231.8
2026-01-02 22:00:00,1,22,1037.1,Grid,0,22.8,0,435.58,290.39,93.34,93.34,62.23,62.23
2026-01-02 23:00:00,1,23,973.7,Grid,0,19.3,0,408.95,272.63,87.63,87.63,58.42,58.42
2026-01-03 00:00:00,1,0,984.73,Grid,0,20.4,0,413.59,275.72,88.63,88.63,59.08,59.08
2026-01-03 01:00:00,1,1,961.21,Grid,0,19.1,0,403.71,269.14,86.51,86.51,57.67,57.67
2026-01-03 02:00:00,1,2,882.67,Generator,1,18.5,0,370.72,247.15,79.44,79.44,52.96,52.96
2026-01-03 03:00:00,1,3,996.96,Grid,0,17.1,0,418.72,279.15,89.73,89.73,59.82,59.82
2026-01-03 04:00:00,1,4,1008.24,Grid,0,16.5,0,423.46,282.31,90.74,90.74,60.49,60.49
2026-01-03 05:00:00,1,5,1032.95,Grid,0,15.3,0,433.84,289.23,92.97,92.97,61.98,61.98
2026-01-03 06:00:00,1,6,982.46,Grid,0,16.4,0,412.63,275.09,88.42,88.42,58.95,58.95
2026-01-03 07:00:00,1,7,1022.82,Grid,0,18.3,0,429.58,286.39,92.05,92.05,61.37,61.37
2026-01-03 08:00:00,1,8,2396.27,Grid,0,18.7,0,1006.43,670.96,215.66,215.66,143.78,143.78
2026-01-03 09:00:00,1,9,5149.36,Grid,0,20.2,5467,2162.73,1441.82,463.44,463.44,308.96,308.96
2026-01-03 10:00:00,1,10,4911.45,Grid,0,23.3,5215,2062.81,1375.21,442.03,442.03,294.69,294.69
2026-01-03 11:00:00,1,11,5143.71,Grid,0,22.7,5461,2160.36,1440.24,462.93,462.93,308.62,308.62
2026-01-03 12:00:00,1,12,6973.2,Generator,1,25.2,7491,2928.74,1952.5,627.59,627.59,418.39,418.39
2026-01-03 13:00:00,1,13,8400.01,Grid,0,27.1,7151,3528.0,2352.0,756.0,756.0,504.0,504.0
2026-01-03 14:00:00,1,14,8478.76,Grid,0,27.4,7090,3561.08,2374.05,763.09,763.09,508.73,508.73
2026-01-03 15:00:00,1,15,6084.64,Grid,0,26.6,5355,2555.55,1703.7,547.62,547.62,365.08,365.08
2026-01-03 16:00:00,1,16,6387.2,Grid,0,27.2,5382,2682.63,1788.42,574.85,574.85,383.23,383.23
2026-01-03 17:00:00,1,17,9177.48,Grid,0,26.7,8032,3854.54,2569.69,825.97,825.97,550.65,550.65
2026-01-03 18:00:00,1,18,8979.78,Grid,0,26.3,8037,3771.51,2514.34,808.18,808.18,538.79,538.79
2026-01-03 19:00:00,1,19,8718.99,Grid,0,26.4,7772,3661.98,2441.32,784.71,784.71,523.14,523.14
2026-01-03 20:00:00,1,20,5958.67,Grid,0,25.9,5500,2502.64,1668.43,536.28,536.28,357.52,357.52
2026-01-03 21:00:00,1,21,5104.61,Grid,0,23.3,5420,2143.94,1429.29,459.41,459.41,306.28,306.28
2026-01-03 22:00:00,1,22,1002.45,Grid,0,20.6,0,421.03,280.69,90.22,90.22,60.15,60.15
2026-01-03 23:00:00,1,23,879.62,Generator,1,20.4,0,369.44,246.29,79.17,79.17,52.78,52.78
2026-01-04 00:00:00,1,0,1008.26,Grid,0,18.9,0,423.47,282.31,90.74,90.74,60.5,60.5
2026-01-04 01:00:00,1,1,1035.23,Grid,0,18.5,0,434.8,289.86,93.17,93.17,62.11,62.11
2026-01-04 02:00:00,1,2,978.51,Grid,0,17.8,0,410.97,273.98,88.07,88.07,58.71,58.71
2026-01-04 03:00:00,1,3,967.92,Grid,0,15.9,0,406.53,271.02,87.11,87.11,58.08,58.08
2026-01-04 04:00:00,1,4,1032.9,Grid,0,16.6,0,433.82,289.21,92.96,92.96,61.97,61.97
2026-01-04 05:00:00,1,5,1005.68,Grid,0,18.0,0,422.39,281.59,90.51,90.51,60.34,60.34
2026-01-04 06:00:00,1,6,965.43,Grid,0,17.9,0,405.48,270.32,86.89,86.89,57.93,57.93
2026-01-04 07:00:00,1,7,1012.63,Grid,0,17.8,0,425.31,283.54,91.14,91.14,60.76,60.76
2026-01-04 08:00:00,1,8,2361.66,Grid,0,19.9,0,991.9,661.26,212.55,212.55,141.7,141.7
2026-01-04 09:00:00,1,9,5135.23,Grid,0,19.8,5452,2156.8,1437.86,462.17,462.17,308.11,308.11
2026-01-04 10:00:00,1,10,4984.47,Grid,0,23.4,5292,2093.48,1395.65,448.6,448.6,299.07,299.07
2026-01-04 11:00:00,1,11,5065.26,Grid,0,23.6,5378,2127.41,1418.27,455.87,455.87,303.92,303.92
2026-01-04 12:00:00,1,12,7202.93,Grid,0,23.8,7648,3025.23,2016.82,648.26,648.26,432.18,432.18
2026-01-04 13:00:00,1,13,6691.04,Generator,1,24.7,7451,2810.24,1873.49,602.19,602.19,401.46,401.46
2026-01-04 14:00:00,1,14,7733.9,Grid,0,25.4,7380,3248.24,2165.49,696.05,696.05,464.03,464.03
2026-01-04 15:00:00,1,15,5732.08,Generator,1,28.2,5076,2407.47,1604.98,515.89,515.89,343.92,343.92
2026-01-04 16:00:00,1,16,6388.06,Grid,0,27.1,5432,2682.99,1788.66,574.93,574.93,383.28,383.28
2026-01-04 17:00:00,1,17,9756.65,Grid,0,27.5,8113,4097.79,2731.86,878.1,878.1,585.4,585.4
2026-01-04 18:00:00,1,18,10920.01,Grid,0,29.6,8014,4586.4,3057.6,982.8,982.8,655.2,655.2
2026-01-04 19:00:00,1,19,10101.87,Grid,0,28.1,8083,4242.79,2828.52,909.17,909.17,606.11,606.11
2026-01-04 20:00:00,1,20,5803.58,Grid,0,26.0,5294,2437.5,1625.0,522.32,522.32,348.21,348.21
2026-01-04 21:00:00,1,21,4953.8,Grid,0,22.9,5260,2080.6,1387.06,445.84,445.84,297.23,297.23
2026-01-04 22:00:00,1,22,955.7,Grid,0,21.2,0,401.39,267.6,86.01,86.01,57.34,57.34
2026-01-04 23:00:00,1,23,966.81,Grid,0,22.1,0,406.06,270.71,87.01,87.01,58.01,58.01
2026-01-05 00:00:00,1,0,1000.11,Grid,0,19.9,0,420.04,280.03,90.01,90.01,60.01,60.01
2026-01-05 01:00:00,1,1,1034.49,Grid,0,19.0,0,434.48,289.66,93.1,93.1,62.07,62.07
2026-01-05 02:00:00,1,2,1000.54,Grid,0,15.5,0,420.23,280.15,90.05,90.05,60.03,60.03
2026-01-05 03:00:00,1,3,983.73,Grid,0,18.0,0,413.16,275.44,88.54,88.54,59.02,59.02
2026-01-05 04:00:00,1,4,954.77,Grid,0,15.8,0,401.0,267.34,85.93,85.93,57.29,57.29
2026-01-05 05:00:00,1,5,995.22,Grid,0,18.1,0,417.99,278.66,89.57,89.57,59.71,59.71
2026-01-05 06:00:00,1,6,973.79,Grid,0,14.8,0,408.99,272.66,87.64,87.64,58.43,58.43
2026-01-05 07:00:00,1,7,906.65,Generator,1,16.5,0,380.79,253.86,81.6,81.6,54.4,54.4
2026-01-05 08:00:00,1,8,2364.73,Grid,0,19.1,0,993.19,662.13,212.83,212.83,141.88,141.88
2026-01-05 09:00:00,1,9,4037.54,Grid,0,22.8,3048,1695.77,1130.51,363.38,363.38,242.25,242.25
2026-01-05 10:00:00,1,10,3838.14,Grid,0,21.8,2898,1612.02,1074.68,345.43,345.43,230.29,230.29
2026-01-05 11:00:00,1,11,4132.99,Grid,0,23.6,3120,1735.86,1157.24,371.97,371.97,247.98,247.98
2026-01-05 12:00:00,1,12,5694.23,Grid,0,24.4,4171,2391.58,1594.38,512.48,512.48,341.65,341.65
2026-01-05 13:00:00,1,13,7802.4,Grid,0,28.4,4369,3277.01,2184.67,702.22,702.22,468.14,468.14
2026-01-05 14:00:00,1,14,7052.61,Grid,0,26.7,4376,2962.09,1974.73,634.73,634.73,423.16,423.16
2026-01-05 15:00:00,1,15,4872.51,Generator,1,28.0,3096,2046.46,1364.3,438.53,438.53,292.35,292.35
2026-01-05 16:00:00,1,16,5195.65,Grid,0,27.4,3088,2182.17,1454.78,467.61,467.61,311.74,311.74
2026-01-05 17:00:00,1,17,7703.74,Grid,0,27.4,4561,3235.57,2157.05,693.34,693.34,462.22,462.22
2026-01-05 18:00:00,1,18,7346.58,Grid,0,26.6,4602,3085.56,2057.04,661.19,661.19,440.79,440.79
2026-01-05 19:00:00,1,19,7626.08,Grid,0,27.1,4608,3202.95,2135.3,686.35,686.35,457.56,457.56
2026-01-05 20:00:00,1,20,4150.03,Grid,0,23.2,3133,1743.01,1162.01,373.5,373.5,249.0,249.0
2026-01-05 21:00:00,1,21,3929.76,Grid,0,22.3,2967,1650.5,1100.33,353.68,353.68,235.79,235.79
2026-01-05 22:00:00,1,22,1026.31,Grid,0,23.6,0,431.05,287.37,92.37,92.37,61.58,61.58
2026-01-05 23:00:00,1,23,962.29,Grid,0,20.0,0,404.16,269.44,86.61,86.61,57.74,57.74
2026-01-06 00:00:00,1,0,996.38,Grid,0,18.5,0,418.48,278.99,89.67,89.67,59.78,59.78
2026-01-06 01:00:00,1,1,887.89,Generator,1,18.7,0,372.91,248.61,79.91,79.91,53.27,53.27
2026-01-06 02:00:00,1,2,1030.29,Grid,0,16.5,0,432.72,288.48,92.73,92.73,61.82,61.82
2026-01-06 03:00:00,1,3,1034.13,Grid,0,15.6,0,434.33,289.56,93.07,93.07,62.05,62.05
2026-01-06 04:00:00,1,4,1031.04,Grid,0,14.2,0,433.04,288.69,92.79,92.79,61.86,61.86
2026-01-06 05:00:00,1,5,1010.56,Grid,0,15.8,0,424.43,282.96,90.95,90.95,60.63,60.63
2026-01-06 06:00:00,1,6,1020.65,Grid,0,16.1,0,428.67,285.78,91.86,91.86,61.24,61.24
2026-01-06 07:00:00,1,7,990.98,Grid,0,17.7,0,416.21,277.47,89.19,89.19,59.46,59.46
2026-01-06 08:00:00,1,8,2359.91,Grid,0,19.6,0,991.16,660.78,212.39,212.39,141.59,141.59
2026-01-06 09:00:00,1,9,3842.73,Grid,0,21.8,2901,1613.95,1075.96,345.85,345.85,230.56,230.56
2026-01-06 10:00:00,1,10,3838.88,Grid,0,22.6,2898,1612.33,1074.89,345.5,345.5,230.33,230.33
2026-01-06 11:00:00,1,11,3973.78,Grid,0,24.4,2901,1668.99,1112.66,357.64,357.64,238.43,238.43
2026-01-06 12:00:00,1,12,6468.49,Grid,0,26.2,4166,2716.76,1811.18,582.16,582.16,388.11,388.11
2026-01-06 13:00:00,1,13,6628.11,Grid,0,25.8,4385,2783.81,1855.87,596.53,596.53,397.69,397.69
2026-01-06 14:00:00,1,14,6030.2,Grid,0,25.2,4166,2532.68,1688.46,542.72,542.72,361.81,361.81
2026-01-06 15:00:00,1,15,5505.33,Grid,0,29.4,2908,2312.24,1541.49,495.48,495.48,330.32,330.32
2026-01-06 16:00:00,1,16,4831.42,Grid,0,27.3,2882,2029.2,1352.8,434.83,434.83,289.89,289.89
2026-01-06 17:00:00,1,17,7514.19,Grid,0,27.7,4365,3155.96,2103.97,676.28,676.28,450.85,450.85
2026-01-06 18:00:00,1,18,7901.1,Grid,0,27.7,4606,3318.46,2212.31,711.1,711.1,474.07,474.07
2026-01-06 19:00:00,1,19,6960.87,Grid,0,26.3,4429,2923.57,1949.04,626.48,626.48,417.65,417.65
2026-01-06 20:00:00,1,20,4222.9,Grid,0,25.1,2937,1773.62,1182.41,380.06,380.06,253.37,253.37
2026-01-06 21:00:00,1,21,4003.99,Grid,0,24.5,2898,1681.67,1121.12,360.36,360.36,240.24,240.24
2026-01-06 22:00:00,1,22,1058.56,Grid,0,24.3,0,444.6,296.4,95.27,95.27,63.51,63.51
2026-01-06 23:00:00,1,23,992.08,Grid,0,20.9,0,416.67,277.78,89.29,89.29,59.52,59.52
2026-01-07 00:00:00,1,0,1003.08,Grid,0,18.9,0,421.29,280.86,90.28,90.28,60.18,60.18
2026-01-07 01:00:00,1,1,977.06,Grid,0,18.7,0,410.37,273.58,87.94,87.94,58.62,58.62
2026-01-07 02:00:00,1,2,992.86,Grid,0,17.8,0,417.0,278.0,89.36,89.36,59.57,59.57
2026-01-07 03:00:00,1,3,1054.97,Grid,0,14.4,0,443.09,295.39,94.95,94.95,63.3,63.3
2026-01-07 04:00:00,1,4,1040.46,Grid,0,14.1,0,436.99,291.33,93.64,93.64,62.43,62.43
2026-01-07 05:00:00,1,5,1011.59,Grid,0,16.6,0,424.87,283.25,91.04,91.04,60.7,60.7
2026-01-07 06:00:00,1,6,1030.76,Grid,0,17.5,0,432.92,288.61,92.77,92.77,61.85,61.85
2026-01-07 07:00:00,1,7,1032.61,Grid,0,19.2,0,433.7,289.13,92.94,92.94,61.96,61.96
2026-01-07 08:00:00,1,8,2297.73,Grid,0,18.9,0,965.04,643.36,206.8,206.8,137.86,137.86
2026-01-07 09:00:00,1,9,4148.94,Grid,0,20.2,3132,1742.55,1161.7,373.4,373.4,248.94,248.94
2026-01-07 10:00:00,1,10,4015.65,Grid,0,22.3,3032,1686.57,1124.38,361.41,361.41,240.94,240.94
2026-01-07 11:00:00,1,11,4098.44,Grid,0,23.5,3094,1721.34,1147.56,368.86,368.86,245.91,245.91
2026-01-07 12:00:00,1,12,5931.62,Grid,0,24.9,4180,2491.28,1660.85,533.85,533.85,355.9,355.9
2026-01-07 13:00:00,1,13,6727.59,Grid,0,26.2,4323,2825.59,1883.73,605.48,605.48,403.66,403.66
2026-01-07 14:00:00,1,14,8004.39,Grid,0,28.7,4389,3361.84,2241.23,720.4,720.4,480.26,480.26
2026-01-07 15:00:00,1,15,5450.45,Grid,0,28.1,3097,2289.19,1526.13,490.54,490.54,327.03,327.03
2026-01-07 16:00:00,1,16,4802.06,Grid,0,26.6,2995,2016.87,1344.58,432.19,432.19,288.12,288.12
2026-01-07 17:00:00,1,17,8126.94,Grid,0,28.3,4557,3413.31,2275.54,731.42,731.42,487.62,487.62
2026-01-07 18:00:00,1,18,7368.77,Grid,0,27.4,4363,3094.88,2063.26,663.19,663.19,442.13,442.13
2026-01-07 19:00:00,1,19,8040.22,Grid,0,28.3,4519,3376.89,2251.26,723.62,723.62,482.41,482.41
2026-01-07 20:00:00,1,20,4650.05,Grid,0,26.0,3021,1953.02,1302.01,418.5,418.5,279.0,279.0
2026-01-07 21:00:00,1,21,3473.68,Generator,1,23.7,2914,1458.95,972.63,312.63,312.63,208.42,208.42
2026-01-07 22:00:00,1,22,1017.56,Grid,0,23.5,0,427.37,284.92,91.58,91.58,61.05,61.05
2026-01-07 23:00:00,1,23,868.6,Generator,1,21.3,0,364.81,243.21,78.17,78.17,52.12,52.12
2026-01-08 00:00:00,1,0,983.27,Grid,0,17.3,0,412.97,275.32,88.49,88.49,59.0,59.0
2026-01-08 01:00:00,1,1,1030.19,Grid,0,19.2,0,432.68,288.45,92.72,92.72,61.81,61.81
2026-01-08 02:00:00,1,2,997.12,Grid,0,16.3,0,418.79,279.19,89.74,89.74,59.83,59.83
2026-01-08 03:00:00,1,3,1026.65,Grid,0,17.5,0,431.19,287.46,92.4,92.4,61.6,61.6
2026-01-08 04:00:00,1,4,966.02,Grid,0,16.0,0,405.73,270.49,86.94,86.94,57.96,57.96
2026-01-08 05:00:00,1,5,992.47,Grid,0,17.0,0,416.84,277.89,89.32,89.32,59.55,59.55
2026-01-08 06:00:00,1,6,995.31,Grid,0,17.9,0,418.03,278.69,89.58,89.58,59.72,59.72
2026-01-08 07:00:00,1,7,959.98,Grid,0,16.3,0,403.19,268.8,86.4,86.4,57.6,57.6
2026-01-08 08:00:00,1,8,2314.58,Grid,0,17.9,0,972.12,648.08,208.31,208.31,138.87,138.87
2026-01-08 09:00:00,1,9,4118.26,Grid,0,20.9,3109,1729.67,1153.11,370.64,370.64,247.1,247.1
2026-01-08 10:00:00,1,10,3636.49,Generator,1,21.6,3050,1527.32,1018.22,327.28,327.28,218.19,218.19
2026-01-08 11:00:00,1,11,3871.49,Grid,0,23.1,2923,1626.03,1084.02,348.43,348.43,232.29,232.29
2026-01-08 12:00:00,1,12,5423.92,Grid,0,23.6,4095,2278.04,1518.7,488.15,488.15,325.43,325.43
2026-01-08 13:00:00,1,13,6494.27,Grid,0,26.1,4212,2727.59,1818.4,584.48,584.48,389.66,389.66
2026-01-08 14:00:00,1,14,6949.29,Grid,0,27.7,4046,2918.7,1945.8,625.44,625.44,416.96,416.96
2026-01-08 15:00:00,1,15,5754.61,Grid,0,29.0,3103,2416.94,1611.29,517.91,517.91,345.28,345.28
2026-01-08 16:00:00,1,16,5323.28,Grid,0,28.9,2895,2235.78,1490.52,479.1,479.1,319.4,319.4
2026-01-08 17:00:00,1,17,7292.3,Grid,0,27.2,4390,3062.77,2041.84,656.31,656.31,437.54,437.54
2026-01-08 18:00:00,1,18,8543.24,Grid,0,29.6,4462,3588.16,2392.11,768.89,768.89,512.59,512.59
2026-01-08 19:00:00,1,19,6877.15,Grid,0,25.9,4497,2888.4,1925.6,618.94,618.94,412.63,412.63
2026-01-08 20:00:00,1,20,4393.42,Grid,0,25.9,2889,1845.24,1230.16,395.41,395.41,263.61,263.61
2026-01-08 21:00:00,1,21,3987.69,Grid,0,22.6,3010,1674.83,1116.55,358.89,358.89,239.26,239.26
2026-01-08 22:00:00,1,22,962.64,Grid,0,23.5,0,404.31,269.54,86.64,86.64,57.76,57.76
2026-01-08 23:00:00,1,23,976.37,Grid,0,18.0,0,410.08,273.38,87.87,87.87,58.58,58.58
2026-01-09 00:00:00,1,0,955.25,Grid,0,17.9,0,401.21,267.47,85.97,85.97,57.32,57.32
2026-01-09 01:00:00,1,1,963.7,Grid,0,17.1,0,404.76,269.84,86.73,86.73,57.82,57.82
2026-01-09 02:00:00,1,2,1003.87,Grid,0,17.9,0,421.62,281.08,90.35,90.35,60.23,60.23
2026-01-09 03:00:00,1,3,960.92,Grid,0,16.9,0,403.59,269.06,86.48,86.48,57.66,57.66
2026-01-09 04:00:00,1,4,1003.29,Grid,0,15.6,0,421.38,280.92,90.3,90.3,60.2,60.2
2026-01-09 05:00:00,1,5,977.61,Grid,0,17.8,0,410.59,273.73,87.98,87.98,58.66,58.66
2026-01-09 06:00:00,1,6,1011.63,Grid,0,14.9,0,424.88,283.26,91.05,91.05,60.7,60.7
2026-01-09 07:00:00,1,7,1004.9,Grid,0,18.7,0,422.06,281.37,90.44,90.44,60.29,60.29
2026-01-09 08:00:00,1,8,2309.23,Grid,0,18.5,0,969.88,646.59,207.83,207.83,138.55,138.55
2026-01-09 09:00:00,1,9,3877.47,Grid,0,19.8,2927,1628.54,1085.69,348.97,348.97,232.65,232.65
2026-01-09 10:00:00,1,10,3872.99,Grid,0,19.5,2924,1626.66,1084.44,348.57,348.57,232.38,232.38
2026-01-09 11:00:00,1,11,3925.41,Grid,0,24.2,2908,1648.67,1099.11,353.29,353.29,235.52,235.52
2026-01-09 12:00:00,1,12,6374.19,Grid,0,25.2,4379,2677.16,1784.77,573.68,573.68,382.45,382.45
2026-01-09 13:00:00,1,13,6512.25,Grid,0,26.5,4093,2735.14,1823.43,586.1,586.1,390.73,390.73
2026-01-09 14:00:00,1,14,8204.2,Grid,0,29.2,4365,3445.76,2297.18,738.38,738.38,492.25,492.25
2026-01-09 15:00:00,1,15,5840.49,Grid,0,29.4,3076,2453.01,1635.34,525.64,525.64,350.43,350.43
2026-01-09 16:00:00,1,16,5267.44,Grid,0,28.3,2962,2212.32,1474.88,474.07,474.07,316.05,316.05
2026-01-09 17:00:00,1,17,6267.34,Grid,0,25.1,4364,2632.28,1754.86,564.06,564.06,376.04,376.04
2026-01-09 18:00:00,1,18,6833.77,Grid,0,26.1,4430,2870.18,1913.45,615.04,615.04,410.03,410.03
2026-01-09 19:00:00,1,19,6476.03,Generator,1,26.5,4524,2719.93,1813.29,582.84,582.84,388.56,388.56
2026-01-09 20:00:00,1,20,4053.42,Grid,0,24.4,2966,1702.44,1134.96,364.81,364.81,243.21,243.21
2026-01-09 21:00:00,1,21,4173.98,Grid,0,24.3,3074,1753.07,1168.71,375.66,375.66,250.44,250.44
2026-01-09 22:00:00,1,22,993.52,Grid,0,20.2,0,417.28,278.19,89.42,89.42,59.61,59.61
2026-01-09 23:00:00,1,23,1023.96,Grid,0,19.4,0,430.06,286.71,92.16,92.16,61.44,61.44
2026-01-10 00:00:00,1,0,964.09,Grid,0,19.2,0,404.92,269.94,86.77,86.77,57.85,57.85
2026-01-10 01:00:00,1,1,959.19,Grid,0,17.8,0,402.86,268.57,86.33,86.33,57.55,57.55
2026-01-10 02:00:00,1,2,1002.25,Grid,0,16.7,0,420.94,280.63,90.2,90.2,60.13,60.13
2026-01-10 03:00:00,1,3,970.64,Grid,0,16.3,0,407.67,271.78,87.36,87.36,58.24,58.24
2026-01-10 04:00:00,1,4,967.48,Grid,0,16.5,0,406.34,270.89,87.07,87.07,58.05,58.05
2026-01-10 05:00:00,1,5,983.97,Grid,0,17.2,0,413.27,275.51,88.56,88.56,59.04,59.04
2026-01-10 06:00:00,1,6,986.82,Grid,0,16.6,0,414.46,276.31,88.81,88.81,59.21,59.21
2026-01-10 07:00:00,1,7,992.77,Grid,0,19.1,0,416.96,277.98,89.35,89.35,59.57,59.57
2026-01-10 08:00:00,1,8,2440.61,Grid,0,17.4,0,1025.06,683.37,219.65,219.65,146.44,146.44
2026-01-10 09:00:00,1,9,4930.46,Grid,0,20.5,5235,2070.79,1380.53,443.74,443.74,295.83,295.83
2026-01-10 10:00:00,1,10,5151.93,Grid,0,21.1,5470,2163.81,1442.54,463.67,463.67,309.12,309.12
2026-01-10 11:00:00,1,11,5033.79,Grid,0,23.8,5344,2114.19,1409.46,453.04,453.04,302.03,302.03
2026-01-10 12:00:00,1,12,7573.48,Grid,0,25.5,7175,3180.86,2120.57,681.61,681.61,454.41,454.41
2026-01-10 13:00:00,1,13,9216.92,Grid,0,27.5,7650,3871.11,2580.74,829.52,829.52,553.02,553.02
2026-01-10 14:00:00,1,14,7903.94,Grid,0,26.1,7183,3319.65,2213.1,711.35,711.35,474.24,474.24
2026-01-10 15:00:00,1,15,5921.45,Grid,0,27.0,5077,2487.01,1658.0,532.93,532.93,355.29,355.29
